常看频道,#genre#
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8
延边卫视,http://150.138.8.143/00/SNM/CHANNEL00000668/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
兵团卫视,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8
大湾区卫视,http://150.138.8.143/00/SNM/CHANNEL00000670/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
山东频道,#genre#
山东教育卫视,http://150.138.8.143/00/SNM/CHANNEL00000331/index.m3u8
山东农科,http://150.138.8.143/00/SNM/CHANNEL00000339/index.m3u8
山东少儿,http://150.138.8.143/00/SNM/CHANNEL00000340/index.m3u8
山东生活,http://150.138.8.143/00/SNM/CHANNEL00000336/index.m3u8
山东体育休闲,http://150.138.8.143/00/SNM/CHANNEL00000315/index.m3u8
山东文旅,http://150.138.8.143/00/SNM/CHANNEL00000337/index.m3u8
山东新闻,http://150.138.8.143/00/SNM/CHANNEL00000314/index.m3u8
山东齐鲁,http://150.138.8.143/00/SNM/CHANNEL10000313/index.m3u8
济南都市,http://150.138.8.143/00/SNM/CHANNEL00000062/index.m3u8
济南教育,http://150.138.8.143/00/SNM/CHANNEL00000069/index.m3u8
济南鲁中,http://150.138.8.143/00/SNM/CHANNEL00000244/index.m3u8
济南少儿,http://150.138.8.143/00/SNM/CHANNEL00000067/index.m3u8
济南生活,http://150.138.8.143/00/SNM/CHANNEL00000063/index.m3u8
济南文旅体育,http://150.138.8.143/00/SNM/CHANNEL00000064/index.m3u8
济南新闻综合,http://150.138.8.143/00/SNM/CHANNEL00000312/index.m3u8
济南娱乐,http://150.138.8.143/00/SNM/CHANNEL00000065/index.m3u8
济宁综合,http://150.138.8.143/00/SNM/CHANNEL00000240/index.m3u8
济宁生活,http://150.138.8.143/00/SNM/CHANNEL00000239/index.m3u8
济宁公共,http://150.138.8.143/00/SNM/CHANNEL00000241/index.m3u8
嘉祥综合,http://150.138.8.143/00/SNM/CHANNEL00001016/index.m3u8
济宁高新,http://150.138.8.143/00/SNM/CHANNEL00001101/index.m3u8
鱼台新闻,http://150.138.8.143/00/SNM/CHANNEL00001107/index.m3u8
鱼台生活,http://150.138.8.143/00/SNM/CHANNEL00001108/index.m3u8
邹城综合,http://150.138.8.143/00/SNM/CHANNEL00001038/index.m3u8
兖州新闻,http://150.138.8.143/00/SNM/CHANNEL00001051/index.m3u8
曲阜综合,http://150.138.8.143/00/SNM/CHANNEL00001052/index.m3u8
梁山综合,http://150.138.8.143/00/SNM/CHANNEL00001075/index.m3u8
崂山综合,http://150.138.8.143/00/SNM/CHANNEL00001022/index.m3u8
黄岛新闻,http://150.138.8.143/00/SNM/CHANNEL00001086/index.m3u8
黄岛生活,http://150.138.8.143/00/SNM/CHANNEL00001087/index.m3u8
胶州新闻,http://150.138.8.143/00/SNM/CHANNEL00001074/index.m3u8
莱西综合,http://150.138.8.143/00/SNM/CHANNEL00001067/index.m3u8
烟台综合,http://150.138.8.143/00/SNM/CHANNEL00000280/index.m3u8
烟台经济,http://150.138.8.143/00/SNM/CHANNEL00000282/index.m3u8
烟台影视,http://150.138.8.143/00/SNM/CHANNEL00000283/index.m3u8
蓬莱新闻,http://150.138.8.143/00/SNM/CHANNEL00001088/index.m3u8
长岛新闻,http://150.138.8.143/00/SNM/CHANNEL00001090/index.m3u8
淄博影视,http://150.138.8.143/00/SNM/CHANNEL00001037/index.m3u8
淄博新闻,http://150.138.8.143/00/SNM/CHANNEL00000292/index.m3u8
德州综合,http://150.138.8.143/00/SNM/CHANNEL00000206/index.m3u8
德州生活,http://150.138.8.143/00/SNM/CHANNEL00000207/index.m3u8
宁津综合,http://150.138.8.143/00/SNM/CHANNEL00001003/index.m3u8
齐河新闻,http://150.138.8.143/00/SNM/CHANNEL00001056/index.m3u8
武城综合,http://150.138.8.143/00/SNM/CHANNEL00001059/index.m3u8
武城综艺,http://150.138.8.143/00/SNM/CHANNEL00001060/index.m3u8
禹城综合,http://150.138.8.143/00/SNM/CHANNEL00001061/index.m3u8
禹城综艺,http://150.138.8.143/00/SNM/CHANNEL00001062/index.m3u8
平原新闻,http://150.138.8.143/00/SNM/CHANNEL00001064/index.m3u8
夏津综合,http://150.138.8.143/00/SNM/CHANNEL00001069/index.m3u8
夏津公共,http://150.138.8.143/00/SNM/CHANNEL00001070/index.m3u8
陵城新闻,http://150.138.8.143/00/SNM/CHANNEL00001082/index.m3u8
潍坊综合,http://150.138.8.143/00/SNM/CHANNEL00000215/index.m3u8
潍坊都市,http://150.138.8.143/00/SNM/CHANNEL00000216/index.m3u8
昌乐综合,http://150.138.8.143/00/SNM/CHANNEL00001033/index.m3u8
青州综合,http://150.138.8.143/00/SNM/CHANNEL00001042/index.m3u8
寿光蔬菜,http://150.138.8.143/00/SNM/CHANNEL00001045/index.m3u8
高密综合,http://150.138.8.143/00/SNM/CHANNEL00001089/index.m3u8
无棣综合,http://150.138.8.143/00/SNM/CHANNEL00001024/index.m3u8
邹平新闻,http://150.138.8.143/00/SNM/CHANNEL00001058/index.m3u8
广饶综合,http://150.138.8.143/00/SNM/CHANNEL00001043/index.m3u8
单县综合,http://150.138.8.143/00/SNM/CHANNEL00001079/index.m3u8
巨野新闻,http://150.138.8.143/00/SNM/CHANNEL00001046/index.m3u8
定陶综合,http://150.138.8.143/00/SNM/CHANNEL00001063/index.m3u8
莘县综合,http://150.138.8.143/00/SNM/CHANNEL00001047/index.m3u8
茌平综合,http://150.138.8.143/00/SNM/CHANNEL00001048/index.m3u8
乳山综合,http://150.138.8.143/00/SNM/CHANNEL00001049/index.m3u8
荣成综合,http://150.138.8.143/00/SNM/CHANNEL00001053/index.m3u8
东平新闻,http://150.138.8.143/00/SNM/CHANNEL00001001/index.m3u8
新泰综合,http://150.138.8.143/00/SNM/CHANNEL00001029/index.m3u8
兰陵综合,http://150.138.8.143/00/SNM/CHANNEL00001032/index.m3u8
鳳凰中文,https://tv.iill.top/phenix/fhzw
鳳凰資訊,https://tv.iill.top/phenix/fhzx
鳳凰香港,https://tv.iill.top/phenix/fhhk
